Date,Open,High,Low,Close,Adj Close,Volume
2017-04-01,null,null,null,null,null,null
2017-05-01,34.110001,34.599998,30.370001,31.530001,30.496075,548285400
2017-06-01,31.520000,32.500000,31.090000,31.299999,30.273615,480696300
2017-07-01,31.090000,32.250000,30.670000,31.450001,30.418697,344250200
2017-08-01,31.590000,32.470001,30.360001,32.209999,31.444839,505595400
2017-09-01,32.220001,34.099998,31.459999,33.630001,32.831108,415433800
2017-10-01,33.610001,34.730000,33.169998,34.150002,33.338753,336242900
2017-11-01,34.290001,38.029999,33.669998,37.299999,36.728584,476356800
2017-12-01,37.090000,38.990002,36.730000,38.299999,37.713264,373030900
2018-01-01,38.669998,42.980000,38.430000,41.540001,40.903633,504812100
2018-02-01,41.090000,45.889999,37.349998,44.779999,44.422886,703752400
2018-03-01,44.680000,46.160000,41.580002,42.889999,42.547958,597830400
2018-04-01,42.520000,44.950001,40.189999,43.740002,43.391182,409125400
