Date,Open,High,Low,Close,Adj Close,Volume
2017-04-01,null,null,null,null,null,null
2017-05-01,45.009998,45.779999,43.599998,45.389999,44.682049,218152500
2017-06-01,45.520000,51.849998,43.740002,50.139999,49.357964,389200100
2017-07-01,50.049999,51.360001,48.770000,49.930000,49.151234,220653800
2017-08-01,50.150002,50.520000,47.980000,50.330002,49.731888,216473200
2017-09-01,50.349998,53.139999,47.639999,48.349998,47.775410,405925500
2017-10-01,48.720001,51.279999,48.000000,50.900002,50.295113,314059300
2017-11-01,51.099998,51.169998,48.200001,49.060001,48.668190,246059100
2017-12-01,49.049999,50.709999,47.000000,47.279999,46.902401,364528300
2018-01-01,47.570000,52.790001,46.169998,51.590000,51.177982,348599900
2018-02-01,51.360001,51.980000,45.919998,50.669998,50.461071,290684300
2018-03-01,50.959999,53.480000,44.509998,45.750000,45.561359,435423200
2018-04-01,45.650002,47.290001,44.040001,45.799999,45.611153,219585700
