"","Portfolio_7.Date","Portfolio_7.EBAY","Portfolio_7.GOOG","Portfolio_7.MSFT"
"1",2018-04-01,3.37971156164456,3.45612097927998,4.47025433779733
"2",2018-03-01,-6.11292332914318,-6.60251304124109,-2.20887308949567
"3",2018-02-01,5.61852855502569,-5.57378705647592,-1.30513171566784
"4",2018-01-01,7.52517183226435,11.8061844578092,11.0708413877087
"5",2017-12-01,8.85492984453013,2.44662296830736,2.1380524007428
"6",2017-11-01,-7.89054484300067,0.469188496382379,1.19018837452709
"7",2017-10-01,-2.13208533884777,5.99827245047396,11.666005275092
"8",2017-09-01,6.44892868948441,2.10575278571131,0.156304779494355
"9",2017-08-01,1.11951021550519,0.948954003224073,2.84730667713644
"10",2017-07-01,2.31959348909469,2.39565332707523,5.46931674275229
"11",2017-06-01,1.80757731217427,-5.81742489818355,-0.737248755398519
