"","Portfolio_6.Date","Portfolio_6.CSCO","Portfolio_6.MSFT","Portfolio_6.ÖRCL"
"1",2018-04-01,1.98182013811332,4.47025433779733,0.109289979695291
"2",2018-03-01,-4.22063528245328,-2.20887308949567,-9.70988507160301
"3",2018-02-01,8.60376632070799,-1.30513171566784,-1.40081920385216
"4",2018-01-01,8.45954091907822,11.0708413877087,9.11591071851525
"5",2017-12-01,2.6809636875737,2.1380524007428,-3.62821999338789
"6",2017-11-01,10.1678398109251,1.19018837452709,-3.23475364296328
"7",2017-10-01,1.54623170195778,11.666005275092,5.27405834926377
"8",2017-09-01,4.40857401114376,0.156304779494355,-3.93405132738978
"9",2017-08-01,3.37339235799614,2.84730667713644,1.18136199795105
"10",2017-07-01,0.47923579658393,5.46931674275229,-0.418838183844051
"11",2017-06-01,-0.729470923717238,-0.737248755398519,10.4648625223073
