Date,Open,High,Low,Close,Adj Close,Volume
2017-04-01,null,null,null,null,null,null
2017-05-01,901.940002,979.270020,901.450012,964.859985,964.859985,32180100
2017-06-01,968.950012,988.250000,908.309998,908.729980,908.729980,43577200
2017-07-01,912.179993,986.200012,894.789978,930.500000,930.500000,36679200
2017-08-01,932.380005,941.979980,903.400024,939.330017,939.330017,27958000
2017-09-01,941.130005,959.786011,909.700012,959.109985,959.109985,28053800
2017-10-01,959.979980,1048.390015,947.840027,1016.640015,1016.640015,31779700
2017-11-01,1017.210022,1062.375000,1013.010010,1021.409973,1021.409973,24265500
2017-12-01,1015.799988,1078.489990,988.280029,1046.400024,1046.400024,28163700
2018-01-01,1048.339966,1186.890015,1045.229980,1169.939941,1169.939941,28738400
2018-02-01,1162.609985,1174.000000,992.559998,1104.729980,1104.729980,42384100
2018-03-01,1107.869995,1177.050049,980.640015,1031.790039,1031.790039,45353300
2018-04-01,1022.820007,1094.165039,990.369995,1067.449951,1067.449951,28999200
