Date,Open,High,Low,Close,Adj Close,Volume
2017-04-01,null,null,null,null,null,null
2017-05-01,18.850000,19.580000,18.209999,18.760000,18.263924,226983500
2017-06-01,18.740000,19.160000,17.139999,17.480000,17.017771,255343300
2017-07-01,17.590000,19.580000,17.100000,19.100000,18.734598,192673700
2017-08-01,19.139999,19.780001,18.360001,19.080000,18.714981,249698800
2017-09-01,19.080000,20.129999,19.070000,19.959999,19.578148,173673800
2017-10-01,19.940001,22.309999,19.940001,21.549999,21.283918,228744900
2017-11-01,21.600000,22.680000,20.590000,21.450001,21.185154,237703600
2017-12-01,21.379999,21.730000,20.660000,21.010000,20.750586,178802800
2018-01-01,21.180000,24.100000,21.000000,23.320000,23.183681,178235500
2018-02-01,23.219999,23.900000,19.309999,23.389999,23.253271,241128300
2018-03-01,23.469999,24.750000,21.430000,21.920000,21.791866,248348400
2018-04-01,21.840000,22.139999,20.600000,21.379999,21.379999,130335200
2018-04-24,21.389999,21.639999,21.030001,21.200001,21.200001,7298039
