"","Portfolio_9.Date","Portfolio_9.EBAY","Portfolio_9.MSFT","Portfolio_9.ÖRCL"
"1",2018-04-01,3.37971156164456,4.47025433779733,0.109289979695291
"2",2018-03-01,-6.11292332914318,-2.20887308949567,-9.70988507160301
"3",2018-02-01,5.61852855502569,-1.30513171566784,-1.40081920385216
"4",2018-01-01,7.52517183226435,11.0708413877087,9.11591071851525
"5",2017-12-01,8.85492984453013,2.1380524007428,-3.62821999338789
"6",2017-11-01,-7.89054484300067,1.19018837452709,-3.23475364296328
"7",2017-10-01,-2.13208533884777,11.666005275092,5.27405834926377
"8",2017-09-01,6.44892868948441,0.156304779494355,-3.93405132738978
"9",2017-08-01,1.11951021550519,2.84730667713644,1.18136199795105
"10",2017-07-01,2.31959348909469,5.46931674275229,-0.418838183844051
"11",2017-06-01,1.80757731217427,-0.737248755398519,10.4648625223073
