"","Portfolio_3.Date","Portfolio_3.CSCO","Portfolio_3.EBAY","Portfolio_3.ÖRCL"
"1",2018-04-01,1.98182013811332,3.37971156164456,0.109289979695291
"2",2018-03-01,-4.22063528245328,-6.11292332914318,-9.70988507160301
"3",2018-02-01,8.60376632070799,5.61852855502569,-1.40081920385216
"4",2018-01-01,8.45954091907822,7.52517183226435,9.11591071851525
"5",2017-12-01,2.6809636875737,8.85492984453013,-3.62821999338789
"6",2017-11-01,10.1678398109251,-7.89054484300067,-3.23475364296328
"7",2017-10-01,1.54623170195778,-2.13208533884777,5.27405834926377
"8",2017-09-01,4.40857401114376,6.44892868948441,-3.93405132738978
"9",2017-08-01,3.37339235799614,1.11951021550519,1.18136199795105
"10",2017-07-01,0.47923579658393,2.31959348909469,-0.418838183844051
"11",2017-06-01,-0.729470923717238,1.80757731217427,10.4648625223073
