"","Portfolio_2.Date","Portfolio_2.CSCO","Portfolio_2.EBAY","Portfolio_2.MSFT"
"1",2018-04-01,1.98182013811332,3.37971156164456,4.47025433779733
"2",2018-03-01,-4.22063528245328,-6.11292332914318,-2.20887308949567
"3",2018-02-01,8.60376632070799,5.61852855502569,-1.30513171566784
"4",2018-01-01,8.45954091907822,7.52517183226435,11.0708413877087
"5",2017-12-01,2.6809636875737,8.85492984453013,2.1380524007428
"6",2017-11-01,10.1678398109251,-7.89054484300067,1.19018837452709
"7",2017-10-01,1.54623170195778,-2.13208533884777,11.666005275092
"8",2017-09-01,4.40857401114376,6.44892868948441,0.156304779494355
"9",2017-08-01,3.37339235799614,1.11951021550519,2.84730667713644
"10",2017-07-01,0.47923579658393,2.31959348909469,5.46931674275229
"11",2017-06-01,-0.729470923717238,1.80757731217427,-0.737248755398519
