Date,Open,High,Low,Close,Adj Close,Volume
2017-04-01,null,null,null,null,null,null
2017-05-01,33.459999,35.299999,32.990002,34.299999,34.299999,173454600
2017-06-01,34.439999,36.500000,33.889999,34.919998,34.919998,184614800
2017-07-01,35.150002,37.480000,33.950001,35.730000,35.730000,210354100
2017-08-01,35.820000,36.639999,34.090000,36.130001,36.130001,158918000
2017-09-01,36.200001,38.869999,35.770000,38.459999,38.459999,149752800
2017-10-01,38.509998,39.279999,36.189999,37.639999,37.639999,214499000
2017-11-01,37.849998,38.090000,33.950001,34.669998,34.669998,179743700
2017-12-01,34.380001,38.660000,34.310001,37.740002,37.740002,168580100
2018-01-01,38.169998,41.340000,37.380001,40.580002,40.580002,211507400
2018-02-01,45.500000,46.990002,40.430000,42.860001,42.860001,252196500
2018-03-01,43.009998,44.299999,39.590000,40.240002,40.240002,199402700
2018-04-01,40.040001,43.000000,38.820000,41.599998,41.599998,161183600
