Date,Open,High,Low,Close,Adj Close,Volume
2017-04-01,null,null,null,null,null,null
2017-05-01,36.110001,37.169998,35.020000,36.110001,35.129723,432927300
2017-06-01,36.119999,36.570000,33.340000,33.740002,33.067795,499084800
2017-07-01,33.509998,35.860001,33.230000,35.470001,34.763329,440860400
2017-08-01,35.660000,36.700001,34.380001,35.070000,34.371296,496928000
2017-09-01,35.240002,38.150002,34.930000,38.080002,37.600975,431948900
2017-10-01,38.119999,45.799999,38.080002,45.490002,44.917767,633392500
2017-11-01,45.970001,47.299999,43.770000,44.840000,44.275940,579910400
2017-12-01,44.730000,47.639999,42.669998,46.160000,45.848949,559756900
2018-01-01,46.380001,50.849998,42.439999,48.139999,47.815605,910041000
2018-02-01,47.700001,50.900002,42.040001,49.290001,48.957859,608494100
2018-03-01,49.500000,53.779999,46.959999,52.080002,52.080002,710899300
2018-04-01,51.689999,54.360001,47.290001,51.099998,51.099998,451495400
2018-04-24,51.869999,53.639999,51.139999,51.450001,51.450001,39952101
