"","Portfolio_8.Date","Portfolio_8.EBAY","Portfolio_8.GOOG","Portfolio_8.ÖRCL"
"1",2018-04-01,3.37971156164456,3.45612097927998,0.109289979695291
"2",2018-03-01,-6.11292332914318,-6.60251304124109,-9.70988507160301
"3",2018-02-01,5.61852855502569,-5.57378705647592,-1.40081920385216
"4",2018-01-01,7.52517183226435,11.8061844578092,9.11591071851525
"5",2017-12-01,8.85492984453013,2.44662296830736,-3.62821999338789
"6",2017-11-01,-7.89054484300067,0.469188496382379,-3.23475364296328
"7",2017-10-01,-2.13208533884777,5.99827245047396,5.27405834926377
"8",2017-09-01,6.44892868948441,2.10575278571131,-3.93405132738978
"9",2017-08-01,1.11951021550519,0.948954003224073,1.18136199795105
"10",2017-07-01,2.31959348909469,2.39565332707523,-0.418838183844051
"11",2017-06-01,1.80757731217427,-5.81742489818355,10.4648625223073
