Date,Open,High,Low,Close,Adj Close,Volume
2017-04-01,null,null,null,null,null,null
2017-05-01,160.050003,160.419998,149.789993,152.630005,146.648987,103329100
2017-06-01,152.800003,157.199997,150.800003,153.830002,149.245789,83977000
2017-07-01,153.580002,156.029999,143.639999,144.669998,140.358765,93293500
2017-08-01,145.000000,145.669998,139.130005,143.029999,138.767654,80268700
2017-09-01,142.979996,147.419998,141.639999,145.080002,142.243729,78296700
2017-10-01,145.350006,162.509995,145.210007,154.059998,151.048172,125345600
2017-11-01,154.100006,154.899994,146.210007,149.119995,146.204742,135079900
2017-12-01,154.399994,157.850006,151.490005,153.419998,151.924194,88788100
2018-01-01,154.500000,171.130005,153.539993,163.699997,162.103958,145086400
2018-02-01,163.190002,164.130005,144.399994,155.830002,154.310699,102364900
2018-03-01,155.529999,162.110001,148.539993,153.429993,153.429993,94316900
2018-04-01,153.339996,162.000000,144.330002,145.860001,145.860001,98196300
2018-04-24,146.509995,147.300003,144.529999,145.559998,145.559998,4890564
